angle_deg,bonds,angles,dihedrals,vdw,total
33.0000,0.395258,0.608629,0.634561,2.967981,4.606429
34.0000,0.395258,0.608629,0.660913,2.846605,4.511404
35.0000,0.395258,0.608629,0.686909,2.723946,4.414741
36.0000,0.395258,0.608629,0.712478,2.600788,4.317152
37.0000,0.395258,0.608629,0.737550,2.477883,4.219319
38.0000,0.395258,0.608629,0.762056,2.355936,4.121879
39.0000,0.395258,0.608629,0.785930,2.235600,4.025416
40.0000,0.395258,0.608629,0.809105,2.117463,3.930455
41.0000,0.395258,0.608629,0.831519,2.002050,3.837455
42.0000,0.395258,0.608629,0.853109,1.889813,3.746809
43.0000,0.395258,0.608629,0.873818,1.781137,3.658841
44.0000,0.395258,0.608629,0.893587,1.676334,3.573807
45.0000,0.395258,0.608629,0.912362,1.575652,3.491901
46.0000,0.395258,0.608629,0.930093,1.479274,3.413254
47.0000,0.395258,0.608629,0.946731,1.387324,3.337941
48.0000,0.395258,0.608629,0.962229,1.299872,3.265988
49.0000,0.395258,0.608629,0.976547,1.216941,3.197375
50.0000,0.395258,0.608629,0.989643,1.138512,3.132041
51.0000,0.395258,0.608629,1.001483,1.064528,3.069897
52.0000,0.395258,0.608629,1.012034,0.994903,3.010823
53.0000,0.395258,0.608629,1.021267,0.929525,2.954679
54.0000,0.395258,0.608629,1.029156,0.868265,2.901308
55.0000,0.395258,0.608629,1.035681,0.810974,2.850541
56.0000,0.395258,0.608629,1.040823,0.757495,2.802205
57.0000,0.395258,0.608629,1.044568,0.707663,2.756118
58.0000,0.395258,0.608629,1.046906,0.661310,2.712103
59.0000,0.395258,0.608629,1.047830,0.618264,2.669981
60.0000,0.395258,0.608629,1.047339,0.578356,2.629582
61.0000,0.395258,0.608629,1.045432,0.541419,2.590738
62.0000,0.395258,0.608629,1.042116,0.507289,2.553292
63.0000,0.395258,0.608629,1.037400,0.475810,2.517096
64.0000,0.395258,0.608629,1.031296,0.446829,2.482012
65.0000,0.395258,0.608629,1.023822,0.420202,2.447911
66.0000,0.395258,0.608629,1.014997,0.395792,2.414676
67.0000,0.395258,0.608629,1.004846,0.373468,2.382201
68.0000,0.395258,0.608629,0.993397,0.353108,2.350391
69.0000,0.395258,0.608629,0.980680,0.334596,2.319163
70.0000,0.395258,0.608629,0.966732,0.317823,2.288442
71.0000,0.395258,0.608629,0.951590,0.302687,2.258165
72.0000,0.395258,0.608629,0.935296,0.289095,2.228278
73.0000,0.395258,0.608629,0.917895,0.276957,2.198738
74.0000,0.395258,0.608629,0.899433,0.266189,2.169509
75.0000,0.395258,0.608629,0.879962,0.256715,2.140564
76.0000,0.395258,0.608629,0.859535,0.248462,2.111883
77.0000,0.395258,0.608629,0.838208,0.241362,2.083456
78.0000,0.395258,0.608629,0.816039,0.235351,2.055277
79.0000,0.395258,0.608629,0.793090,0.230370,2.027347
80.0000,0.395258,0.608629,0.769423,0.226363,1.999673
81.0000,0.395258,0.608629,0.745103,0.223277,1.972266
82.0000,0.395258,0.608629,0.720196,0.221062,1.945145
83.0000,0.395258,0.608629,0.694772,0.219670,1.918329
84.0000,0.395258,0.608629,0.668899,0.219057,1.891843
85.0000,0.395258,0.608629,0.642649,0.219180,1.865715
86.0000,0.395258,0.608629,0.616093,0.219996,1.839976
87.0000,0.395258,0.608629,0.589304,0.221468,1.814659
88.0000,0.395258,0.608629,0.562356,0.223555,1.789798
89.0000,0.395258,0.608629,0.535323,0.226222,1.765432
90.0000,0.395258,0.608629,0.508279,0.229431,1.741597
91.0000,0.395258,0.608629,0.481297,0.233148,1.718332
92.0000,0.395258,0.608629,0.454452,0.237338,1.695677
93.0000,0.395258,0.608629,0.427817,0.241967,1.673671
94.0000,0.395258,0.608629,0.401466,0.247001,1.652354
95.0000,0.395258,0.608629,0.375470,0.252408,1.631764
96.0000,0.395258,0.608629,0.349901,0.258154,1.611942
97.0000,0.395258,0.608629,0.324829,0.264208,1.592923
98.0000,0.395258,0.608629,0.300322,0.270537,1.574746
99.0000,0.395258,0.608629,0.276449,0.277110,1.557446
100.0000,0.395258,0.608629,0.253273,0.283896,1.541056
101.0000,0.395258,0.608629,0.230860,0.290863,1.525609
102.0000,0.395258,0.608629,0.209269,0.297981,1.511137
103.0000,0.395258,0.608629,0.188561,0.305220,1.497668
104.0000,0.395258,0.608629,0.168792,0.312551,1.485229
105.0000,0.395258,0.608629,0.150016,0.319944,1.473847
106.0000,0.395258,0.608629,0.132285,0.327371,1.463543
